,Teach Key,Catalog Number,Units,Enrolled,Capacity,STN_OCC%,STN_OCC%_inverse
count,177.0,177.0,177.0,177.0,177.0,177.0,177.0
mean,43965.141242937854,27122.581920903955,0.0,189.1638418079096,216.24293785310735,0.8979037894652894,1.1615974027928928
std,3991.044598299912,11821.325949284064,0.0,100.09093162843257,114.88261186751369,0.14287894195126233,0.31584858786927084
min,37560.0,100.0,0.0,101.0,105.0,0.332,1.0
25%,40365.0,23253.0,0.0,119.0,130.0,0.8813559322033898,1.0133333333333334
50%,43990.0,32891.0,0.0,151.0,170.0,0.958904109589041,1.042857142857143
75%,47382.0,35752.0,0.0,218.0,252.0,0.9868421052631579,1.1346153846153846
max,51161.0,37093.0,0.0,499.0,506.0,1.0,3.0120481927710845
